study,version,passage_num,passage_file,passage_text,questions,question_1,question_2,question_3,question_4,correct_answer_1,correct_answer_2
study3,C,06,6.txt,"The Accidental ScentNancy had lived in a dormitory for three years and wanted to live in an apartment for her last year at college.  Early in the summer, she found an apartment and agreed to move in before school started.  In the fall, Nancy borrowed her father's car, packed her belongings and headed for the apartment.  During the ride, she realized that she had forgotten her what she had forgotten at home.to go back and get the microwave.  Nancy was excited about her new apartment and couldn't wait to move in.  She also liked the area and thought she might live there permanently. As she continued to drive, Nancy noticed that the streets were beginning to become familiar.  Nancy decided to stop in town and get some things for the apartment before unpacking.  She knew she would need some cleaners because the apartment had looked dirty.  She had just reached the center of town when a car in front of her came to a sudden stop.  Nancy slammed on her brakes and as she did, everything in the car went flying.  Nancy pulled over and looked in the back of the car.  She was what had spilled in the car.spilled. She hoped that she would be ableto clean up all of the perfume.  By thetime she got to the apartment, herroommate was already there and unpacked.Nancy was glad to see that her roommatehad already cleaned the apartment.  As shehelped Nancy unload the car, she asked her3microwave.  However, she decided not ","['What did Nancy forget at home?', 'What had spilled in the car?', 'Where was Nancy driving to?', 'Whose car did Nancy have?']",I forgot to put my microwave in the dishwasher.,Some perfume (spilled),to her roommate's apartment.,Her roommate's car,microwave,perfume
study3,D,06,6.txt,"The Accidental ScentNancy had lived in a dormitory for three years and wanted to live in an apartment for her last year at college.  Early in the summer, she found an apartment and agreed to move in before school started.  In the fall, Nancy borrowed her father's car, packed her belongings and headed for the apartment.  During the ride, she realized that she had forgotten her what she had forgotten at home.to go back and get the microwave.  Nancy was excited about her new apartment and couldn't wait to move in.  She also liked the area and thought she might live there permanently. As she continued to drive, Nancy noticed that the streets were beginning to become familiar.  Nancy decided to stop in town and get some things for the apartment before unpacking.  She knew she would need some cleaners because the apartment had looked dirty.  She had just reached the center of town when a car in front of her came to a sudden stop.  Nancy slammed on her brakes and as she did, everything in the car went flying.  Nancy pulled over and looked in the back of the car.  She was what had spilled in the car.spilled. She hoped that she would be ableto clean up all of the perfume.  By thetime she got to the apartment, herroommate was already there and unpacked.Nancy was glad to see that her roommatehad already cleaned the apartment.  As shehelped Nancy unload the car, she asked her3disappointed to see that her perfume had","['What did Nancy forget at home?', 'What had spilled in the car?', 'Where was Nancy driving to?', 'Whose car did Nancy have?']",The microwave,Her perfume.,The answer is that she was driving to the apartment,Her mother's car.,microwave,perfume
study3,A,07,7.txt,"The Military Muscle ManAs a correspondent for United Press, Mike had often covered revolutions in small third world countries.  Mike was presently working in a very dangerous country.  The country's army had seized power and Mike was covering the story.  He had seen people being arrested off the streets and shot.  Mike was taking pictures of a damaged building when a pair of jeeps came to a screeching halt in front of him.  Several soldiers jumped out and grabbed him.  A small stocky officer walked up to him and informed him that he was under arrest.  Mike noticed the rank of the arresting officer.realized that the situation must be serious.  The army seldom sends a major on a routine arrest.  Mike was handcuffed and thrown into the back of a jeep.  Although Mike asked about the arrest, he wasn't given any answers.  It really didn't matter, he thought, because the American embassy would have him released.  When he arrived at the police station, however, he was thrown in a cell without being allowed to call the embassy.  Now he really began to worry.  If nobody was informed that he was arrested, it could be weeks before anybody found him.  He sat back on his bunk and realized that he was not alone.  He saw an old man who the profession of his cellmate.learned that they were arresting all the bankers for questioning.  Mike was both surprised and relieved when later that day an embassy official had him released.  Mike arrived at the embassy and was broughtimmediately to the ambassador who had somerather unusual questions.  He told Mikethat it was very important that he recall3that the officer was a major and ","['What was the rank of the arresting officer?', ""What was the profession of Mike's cellmate?"", 'Who had Mike released from jail?', ""What was Mike's job?""]",Major.,He was a major general.,The officer had been arrested for questioning.,He was a reporter.,major,banker
study3,B,07,7.txt,"The Military Muscle ManAs a correspondent for United Press, Mike had often covered revolutions in small third world countries.  Mike was presently working in a very dangerous country.  The country's army had seized power and Mike was covering the story.  He had seen people being arrested off the streets and shot.  Mike was taking pictures of a damaged building when a pair of jeeps came to a screeching halt in front of him.  Several soldiers jumped out and grabbed him.  A small stocky officer walked up to him and informed him that he was under arrest.  Mike noticed the rank of the arresting officer.realized that the situation must be serious.  The army seldom sends a major on a routine arrest.  Mike was handcuffed and thrown into the back of a jeep.  Although Mike asked about the arrest, he wasn't given any answers.  It really didn't matter, he thought, because the American embassy would have him released.  When he arrived at the police station, however, he was thrown in a cell without being allowed to call the embassy.  Now he really began to worry.  If nobody was informed that he was arrested, it could be weeks before anybody found him.  He sat back on his bunk and realized that he was not alone.  He saw an old man who the profession of his cellmate.learned that they were arresting all the bankers for questioning.  Mike was both surprised and relieved when later that day an embassy official had him released.  Mike arrived at the embassy and was broughtimmediately to the ambassador who had somerather unusual questions.  He told Mikethat it was very important that he recall3told Mike that he was a banker.  Mike ","['What was the rank of the arresting officer?', ""What was the profession of Mike's cellmate?"", 'Who had Mike released from jail?', ""What was Mike's job?""]",Major,He was an officer in the army.,The army!,The Military Muscle Man,major,banker
study3,C,07,7.txt,"The Unlikely PrisonerAs a correspondent for United Press, Mike had often covered revolutions in small third world countries.  Mike was presently working in a very dangerous country.  The country's army had seized power and Mike was covering the story.  He had seen people being arrested off the streets and shot.  Mike was taking pictures of a damaged building when a pair of jeeps came to a screeching halt in front of him.  Several soldiers jumped out and grabbed him.  A small stocky officer walked up to him and informed him that he was under arrest.  Mike noticed the rank of the arresting officer.realized that the situation must be serious.  The army seldom sends a major on a routine arrest.  Mike was handcuffed and thrown into the back of a jeep.  Although Mike asked about the arrest, he wasn't given any answers.  It really didn't matter, he thought, because the American embassy would have him released.  When he arrived at the police station, however, he was thrown in a cell without being allowed to call the embassy.  Now he really began to worry.  If nobody was informed that he was arrested, it could be weeks before anybody found him.  He sat back on his bunk and realized that he was not alone.  He saw an old man who the profession of his cellmate.learned that they were arresting all the bankers for questioning.  Mike was both surprised and relieved when later that day an embassy official had him released.  Mike arrived at the embassy and was broughtimmediately to the ambassador who had somerather unusual questions.  He told Mikethat it was very important that he recall3that the officer was a major and ","['What was the rank of the arresting officer?', ""What was the profession of Mike's cellmate?"", 'Who had Mike released from jail?', ""What was Mike's job?""]",Major.,The officer was a major,The ambassador,He was an Embassy Correspondent.,major,banker
study3,D,07,7.txt,"The Unlikely PrisonerAs a correspondent for United Press, Mike had often covered revolutions in small third world countries.  Mike was presently working in a very dangerous country.  The country's army had seized power and Mike was covering the story.  He had seen people being arrested off the streets and shot.  Mike was taking pictures of a damaged building when a pair of jeeps came to a screeching halt in front of him.  Several soldiers jumped out and grabbed him.  A small stocky officer walked up to him and informed him that he was under arrest.  Mike noticed the rank of the arresting officer.realized that the situation must be serious.  The army seldom sends a major on a routine arrest.  Mike was handcuffed and thrown into the back of a jeep.  Although Mike asked about the arrest, he wasn't given any answers.  It really didn't matter, he thought, because the American embassy would have him released.  When he arrived at the police station, however, he was thrown in a cell without being allowed to call the embassy.  Now he really began to worry.  If nobody was informed that he was arrested, it could be weeks before anybody found him.  He sat back on his bunk and realized that he was not alone.  He saw an old man who the profession of his cellmate.learned that they were arresting all the bankers for questioning.  Mike was both surprised and relieved when later that day an embassy official had him released.  Mike arrived at the embassy and was broughtimmediately to the ambassador who had somerather unusual questions.  He told Mikethat it was very important that he recall3told Mike that he was a banker.  Mike ","['What was the rank of the arresting officer?', ""What was the profession of Mike's cellmate?"", 'Who had Mike released from jail?', ""What was Mike's job?""]",He was an officer of the military.,He was a banker,The banker.,"He was an English teacher, in a small town called Cancri.",major,banker
study3,A,08,8.txt,"The Little Girl's GiftCathy decided to go Christmas shopping for her family.  She thought that she could find a present for her daughter quickly.  Her daughter was three and Cathy knew what to buy her.  She had seen bought for her daughter.doll, she started to panic. Cathy hadno idea what to get her husband.  Shewondered why she could never find a goodpresent for her husband.  When she got tothe mall it was crowded and she wanted to leave.  She hated shopping when the stores were so crowded.  Cathy went to a clothing store and a sporting goods store but she didn't see anything she wanted to buy for her husband.  As she walked by a pet store, she saw a cute puppy.  At once she decided that the puppy would be perfect for her husband and went in and bought it.  When she left the pet store, she decided to postpone the rest of her shopping until the next day.  While driving home, she passed by a small bought at the bakery.She knew her family would love the pie.  Cathy got back in her car and continued toward her apartment.  Suddenly Cathy realized she couldn't keep the puppy in the apartment because she wanted to surprise her husband.  Cathy went upstairs to her girlfriend's apartment and  asked her friend if she couldleave the puppy there until Christmas.Cathy's friend said yes and invited herinside for coffee.  While they weretalking, her friend asked what she had3an adorable doll.  After she bought the","['What did Cathy buy for her daughter?', 'What did Cathy buy at the bakery?', 'Why did Cathy stop shopping?', 'Where did Cathy leave the puppy?']",The Little Girl's Gift,A cake and a cupcake.,She had no idea what to get her husband.,The puppy was in the apartment.,doll,pie
study3,B,08,8.txt,"The Little Girl's GiftCathy decided to go Christmas shopping for her family.  She thought that she could find a present for her daughter quickly.  Her daughter was three and Cathy knew what to buy her.  She had seen bought for her daughter.doll, she started to panic. Cathy hadno idea what to get her husband.  Shewondered why she could never find a goodpresent for her husband.  When she got tothe mall it was crowded and she wanted to leave.  She hated shopping when the stores were so crowded.  Cathy went to a clothing store and a sporting goods store but she didn't see anything she wanted to buy for her husband.  As she walked by a pet store, she saw a cute puppy.  At once she decided that the puppy would be perfect for her husband and went in and bought it.  When she left the pet store, she decided to postpone the rest of her shopping until the next day.  While driving home, she passed by a small bought at the bakery.She knew her family would love the pie.  Cathy got back in her car and continued toward her apartment.  Suddenly Cathy realized she couldn't keep the puppy in the apartment because she wanted to surprise her husband.  Cathy went upstairs to her girlfriend's apartment and  asked her friend if she couldleave the puppy there until Christmas.Cathy's friend said yes and invited herinside for coffee.  While they weretalking, her friend asked what she had3bakery and she decided to buy a pie.  ","['What did Cathy buy for her daughter?', 'What did Cathy buy at the bakery?', 'Why did Cathy stop shopping?', 'Where did Cathy leave the puppy?']",The Little Girl's Gift,"Cathy's friend bought her a slice of chocolate cake, cupcake, muffin, and a chocolate chip pecan pie.",Cathy had to take care of her daughter.,The puppy was left at her girlfriend's apartment.,doll,pie
study3,C,08,8.txt,"The Surprise DessertCathy decided to go Christmas shopping for her family.  She thought that she could find a present for her daughter quickly.  Her daughter was three and Cathy knew what to buy her.  She had seen bought for her daughter.doll, she started to panic. Cathy hadno idea what to get her husband.  Shewondered why she could never find a goodpresent for her husband.  When she got tothe mall it was crowded and she wanted to leave.  She hated shopping when the stores were so crowded.  Cathy went to a clothing store and a sporting goods store but she didn't see anything she wanted to buy for her husband.  As she walked by a pet store, she saw a cute puppy.  At once she decided that the puppy would be perfect for her husband and went in and bought it.  When she left the pet store, she decided to postpone the rest of her shopping until the next day.  While driving home, she passed by a small bought at the bakery.She knew her family would love the pie.  Cathy got back in her car and continued toward her apartment.  Suddenly Cathy realized she couldn't keep the puppy in the apartment because she wanted to surprise her husband.  Cathy went upstairs to her girlfriend's apartment and  asked her friend if she couldleave the puppy there until Christmas.Cathy's friend said yes and invited herinside for coffee.  While they weretalking, her friend asked what she had3an adorable doll.  After she bought the","['What did Cathy buy for her daughter?', 'What did Cathy buy at the bakery?', 'Why did Cathy stop shopping?', 'Where did Cathy leave the puppy?']",A puppy.,The cake and the ice cream.,The reason Cathy stopped shopping was because her boyfriend suggested that they get something for her so she wouldn't have toshop.,In Cathy's apartment,doll,pie
study3,D,08,8.txt,"The Surprise DessertCathy decided to go Christmas shopping for her family.  She thought that she could find a present for her daughter quickly.  Her daughter was three and Cathy knew what to buy her.  She had seen bought for her daughter.doll, she started to panic. Cathy hadno idea what to get her husband.  Shewondered why she could never find a goodpresent for her husband.  When she got tothe mall it was crowded and she wanted to leave.  She hated shopping when the stores were so crowded.  Cathy went to a clothing store and a sporting goods store but she didn't see anything she wanted to buy for her husband.  As she walked by a pet store, she saw a cute puppy.  At once she decided that the puppy would be perfect for her husband and went in and bought it.  When she left the pet store, she decided to postpone the rest of her shopping until the next day.  While driving home, she passed by a small bought at the bakery.She knew her family would love the pie.  Cathy got back in her car and continued toward her apartment.  Suddenly Cathy realized she couldn't keep the puppy in the apartment because she wanted to surprise her husband.  Cathy went upstairs to her girlfriend's apartment and  asked her friend if she couldleave the puppy there until Christmas.Cathy's friend said yes and invited herinside for coffee.  While they weretalking, her friend asked what she had3bakery and she decided to buy a pie.  ","['What did Cathy buy for her daughter?', 'What did Cathy buy at the bakery?', 'Why did Cathy stop shopping?', 'Where did Cathy leave the puppy?']",A puppy,Question: What did Cathy buy at the bakery?Answer:  ,She had been at the store for about thirty minutes when she thought she had bought what she wanted.,The pet shop,doll,pie
study3,A,09,9.txt,"Transportation TroubleBob loved to ride his bike on weekends with his friends.  This weekend, they decided to ride in the country.  Unfortunately, while riding, Bob developed mechanical problems.  Bob couldn't find a bike shop so he repaired what he had stopped to fix.given Bob problems.  He stopped in front of a small church and made the necessary repairs.  Bob was eager to catch up with his friends.  He had been last in line and they probably hadn't noticed that he had stopped.  They were planning on making camp about twenty miles further up the road.  Bob thought that if he hurried, he could catch them by dark.  Bob was watching the foliage while he rode.  He enjoyed riding in the fall because he loved the smell of clean air and the colorful leaves.  He completely forgot that he needed to hurry to catch his friends before dark.  As a result, he was falling further behind.  After a while, he started to get hungry but his friends had all the food.  Bob what he had stopped to eat.trees.  He sat on a stone wall and ate anapple before going on.  After he hadtraveled several miles, he recognized afriend riding toward him.  He must havenoticed that Bob was gone and had comeback to find him.  Bob was glad to seehis friend and together they continued their ride.  Bob's friend asked him3the brakes himself.  The brakes had often","['What did Bob stop to fix?', 'What did Bob stop to eat?', 'What time of year was it?', 'Who came back to find Bob?']",Bob stopped to fix his broken bike in front of a small church.,Apples,September,Bob's friends,brakes,apple
study3,B,09,9.txt,"Transportation TroubleBob loved to ride his bike on weekends with his friends.  This weekend, they decided to ride in the country.  Unfortunately, while riding, Bob developed mechanical problems.  Bob couldn't find a bike shop so he repaired what he had stopped to fix.given Bob problems.  He stopped in front of a small church and made the necessary repairs.  Bob was eager to catch up with his friends.  He had been last in line and they probably hadn't noticed that he had stopped.  They were planning on making camp about twenty miles further up the road.  Bob thought that if he hurried, he could catch them by dark.  Bob was watching the foliage while he rode.  He enjoyed riding in the fall because he loved the smell of clean air and the colorful leaves.  He completely forgot that he needed to hurry to catch his friends before dark.  As a result, he was falling further behind.  After a while, he started to get hungry but his friends had all the food.  Bob what he had stopped to eat.trees.  He sat on a stone wall and ate anapple before going on.  After he hadtraveled several miles, he recognized afriend riding toward him.  He must havenoticed that Bob was gone and had comeback to find him.  Bob was glad to seehis friend and together they continued their ride.  Bob's friend asked him3stopped by a field and saw several apple ","['What did Bob stop to fix?', 'What did Bob stop to eat?', 'What time of year was it?', 'Who came back to find Bob?']",an apple!,an apple,It was about 9:00 pm on a Sunday.,Bob,brakes,apple
study3,C,09,9.txt,"The Free FruitBob loved to ride his bike on weekends with his friends.  This weekend, they decided to ride in the country.  Unfortunately, while riding, Bob developed mechanical problems.  Bob couldn't find a bike shop so he repaired what he had stopped to fix.given Bob problems.  He stopped in front of a small church and made the necessary repairs.  Bob was eager to catch up with his friends.  He had been last in line and they probably hadn't noticed that he had stopped.  They were planning on making camp about twenty miles further up the road.  Bob thought that if he hurried, he could catch them by dark.  Bob was watching the foliage while he rode.  He enjoyed riding in the fall because he loved the smell of clean air and the colorful leaves.  He completely forgot that he needed to hurry to catch his friends before dark.  As a result, he was falling further behind.  After a while, he started to get hungry but his friends had all the food.  Bob what he had stopped to eat.trees.  He sat on a stone wall and ate anapple before going on.  After he hadtraveled several miles, he recognized afriend riding toward him.  He must havenoticed that Bob was gone and had comeback to find him.  Bob was glad to seehis friend and together they continued their ride.  Bob's friend asked him3the brakes himself.  The brakes had often","['What did Bob stop to fix?', 'What did Bob stop to eat?', 'What time of year was it?', 'Who came back to find Bob?']",He was trying to fix something that was broken.,I can't remember what I ate.,July,My friend who made the repair.,brakes,apple
study3,D,09,9.txt,"The Free FruitBob loved to ride his bike on weekends with his friends.  This weekend, they decided to ride in the country.  Unfortunately, while riding, Bob developed mechanical problems.  Bob couldn't find a bike shop so he repaired what he had stopped to fix.given Bob problems.  He stopped in front of a small church and made the necessary repairs.  Bob was eager to catch up with his friends.  He had been last in line and they probably hadn't noticed that he had stopped.  They were planning on making camp about twenty miles further up the road.  Bob thought that if he hurried, he could catch them by dark.  Bob was watching the foliage while he rode.  He enjoyed riding in the fall because he loved the smell of clean air and the colorful leaves.  He completely forgot that he needed to hurry to catch his friends before dark.  As a result, he was falling further behind.  After a while, he started to get hungry but his friends had all the food.  Bob what he had stopped to eat.trees.  He sat on a stone wall and ate anapple before going on.  After he hadtraveled several miles, he recognized afriend riding toward him.  He must havenoticed that Bob was gone and had comeback to find him.  Bob was glad to seehis friend and together they continued their ride.  Bob's friend asked him3stopped by a field and saw several apple ","['What did Bob stop to fix?', 'What did Bob stop to eat?', 'What time of year was it?', 'Who came back to find Bob?']",The apple.,He stopped to eat the fruit he had fallen for.,It was October.,Bob's friend,brakes,apple
study3,A,10,10.txt,"The Friendly OfficerCharlie had been plowing the city for years and he had never seen a worse blizzard.  The storm had dropped two feet of snow.  Charlie  had been plowing the roads all night and he hadn't eaten dinner but he did have a few coffee breaks.  He was tired and worried that he would have an accident.  As Charlie entered a new street, he saw a if he had seen anyone.The policeman told him he was checking on a burglar alarm.  Charlie hadn't seen anything unusual but said he would look around as he continued his plowing.  He didn't have time to look too carefully though.  The snow was falling hard and he'd be lucky if he finished his streets before he went off duty.  He still had fifteen streets to go and he was only going to be driving the plow for threemore hours.  Charlie started to drive faster but he was afraid he would hit something so he slowed the plow down again.  The snow was coming down hard and Charlie knew he should be careful.  He had hit a parked car once before and had missed work because of the accident.  He couldn't afford to miss any more work.  He would simply do his best and hope he could finish his assigned streets before his shift ended in an hour.  Charlie was getting hungry and he didn't think he could last the whole three hours without if he had eaten anything.in his lunch bag.  The banana wasn't much, but it was better than nothing.  He managed to almost finish his streets by the time he completed his shift.  He had left three streets unplowed but the snow had stopped falling and Charlie knew somebody could plow them easily.  He drove the plow into the station and up to the gas pumps.  The new driver was already there waiting to take over.  They talked for a while about the terrible driving.  The new driver asked Charlie 3policeman in the middle of the road.  ","['Who did Charlie see on the road?', 'What did Charlie have to eat?', 'How long had Charlie been working?', 'Why was Charlie driving so slowly?']",The Friendly OfficerCharlie had been plowing the city for years and he had never seen a worse blizzard.,The Friendly Policeman,I don't really know.,Because I was worried I might hit something.,policeman,banana
study3,B,10,10.txt,"The Friendly OfficerCharlie had been plowing the city for years and he had never seen a worse blizzard.  The storm had dropped two feet of snow.  Charlie  had been plowing the roads all night and he hadn't eaten dinner but he did have a few coffee breaks.  He was tired and worried that he would have an accident.  As Charlie entered a new street, he saw a if he had seen anyone.The policeman told him he was checking on a burglar alarm.  Charlie hadn't seen anything unusual but said he would look around as he continued his plowing.  He didn't have time to look too carefully though.  The snow was falling hard and he'd be lucky if he finished his streets before he went off duty.  He still had fifteen streets to go and he was only going to be driving the plow for threemore hours.  Charlie started to drive faster but he was afraid he would hit something so he slowed the plow down again.  The snow was coming down hard and Charlie knew he should be careful.  He had hit a parked car once before and had missed work because of the accident.  He couldn't afford to miss any more work.  He would simply do his best and hope he could finish his assigned streets before his shift ended in an hour.  Charlie was getting hungry and he didn't think he could last the whole three hours without if he had eaten anything.in his lunch bag.  The banana wasn't much, but it was better than nothing.  He managed to almost finish his streets by the time he completed his shift.  He had left three streets unplowed but the snow had stopped falling and Charlie knew somebody could plow them easily.  He drove the plow into the station and up to the gas pumps.  The new driver was already there waiting to take over.  They talked for a while about the terrible driving.  The new driver asked Charlie 3eating something.  He found a banana ","['Who did Charlie see on the road?', 'What did Charlie have to eat?', 'How long had Charlie been working?', 'Why was Charlie driving so slowly?']",The Friendly OfficerCharlie had been plowing the city for years and he had never seen a worse blizzard.,"A banana, he had a banana, a banana, he had a banana, a banana, he had a banana, a banana, a banana, a banana, a banana, a banana, a banana, a banana, a banana, a banana",I have been working for about a month ,"Charlie, you have been driving too slowly.",policeman,banana
study3,C,10,10.txt,"The Tropical SnackCharlie had been plowing the city for years and he had never seen a worse blizzard.  The storm had dropped two feet of snow.  Charlie  had been plowing the roads all night and he hadn't eaten dinner but he did have a few coffee breaks.  He was tired and worried that he would have an accident.  As Charlie entered a new street, he saw a if he had seen anyone.The policeman told him he was checking on a burglar alarm.  Charlie hadn't seen anything unusual but said he would look around as he continued his plowing.  He didn't have time to look too carefully though.  The snow was falling hard and he'd be lucky if he finished his streets before he went off duty.  He still had fifteen streets to go and he was only going to be driving the plow for threemore hours.  Charlie started to drive faster but he was afraid he would hit something so he slowed the plow down again.  The snow was coming down hard and Charlie knew he should be careful.  He had hit a parked car once before and had missed work because of the accident.  He couldn't afford to miss any more work.  He would simply do his best and hope he could finish his assigned streets before his shift ended in an hour.  Charlie was getting hungry and he didn't think he could last the whole three hours without if he had eaten anything.in his lunch bag.  The banana wasn't much, but it was better than nothing.  He managed to almost finish his streets by the time he completed his shift.  He had left three streets unplowed but the snow had stopped falling and Charlie knew somebody could plow them easily.  He drove the plow into the station and up to the gas pumps.  The new driver was already there waiting to take over.  They talked for a while about the terrible driving.  The new driver asked Charlie 3policeman in the middle of the road.  ","['Who did Charlie see on the road?', 'What did Charlie have to eat?', 'How long had Charlie been working?', 'Why was Charlie driving so slowly?']",The new driver,"He had a banana, a cup of coffee and some cookies in his lunch bag.",1 hour and forty minutes.,Because he was hungry.,policeman,banana
study3,D,10,10.txt,"The Tropical SnackCharlie had been plowing the city for years and he had never seen a worse blizzard.  The storm had dropped two feet of snow.  Charlie  had been plowing the roads all night and he hadn't eaten dinner but he did have a few coffee breaks.  He was tired and worried that he would have an accident.  As Charlie entered a new street, he saw a if he had seen anyone.The policeman told him he was checking on a burglar alarm.  Charlie hadn't seen anything unusual but said he would look around as he continued his plowing.  He didn't have time to look too carefully though.  The snow was falling hard and he'd be lucky if he finished his streets before he went off duty.  He still had fifteen streets to go and he was only going to be driving the plow for threemore hours.  Charlie started to drive faster but he was afraid he would hit something so he slowed the plow down again.  The snow was coming down hard and Charlie knew he should be careful.  He had hit a parked car once before and had missed work because of the accident.  He couldn't afford to miss any more work.  He would simply do his best and hope he could finish his assigned streets before his shift ended in an hour.  Charlie was getting hungry and he didn't think he could last the whole three hours without if he had eaten anything.in his lunch bag.  The banana wasn't much, but it was better than nothing.  He managed to almost finish his streets by the time he completed his shift.  He had left three streets unplowed but the snow had stopped falling and Charlie knew somebody could plow them easily.  He drove the plow into the station and up to the gas pumps.  The new driver was already there waiting to take over.  They talked for a while about the terrible driving.  The new driver asked Charlie 3eating something.  He found a banana ","['Who did Charlie see on the road?', 'What did Charlie have to eat?', 'How long had Charlie been working?', 'Why was Charlie driving so slowly?']",He saw the policeman.,2 bananas,I can't remember if I started until about 3pm or if I started at 5pm.,Because he was hungry.,policeman,banana
study3,A,11,11.txt,"The Alcoholic BeverageBill had finally received three days of shore leave when his ship docked in Boston harbor.  He was thrilled because his grandparents lived in Boston.  Bill hadn't seen them for several years and he knew they would be happy to see him.  When he got off the ship, he called them, and they were indeed happy to hear from him.  When he arrived at his grandparents, Bill's grandmother had a if he had gotten anything to drink.sipping the beer, Bill talked about his experiences since joining the Navy.  He had traveled all over the Mediterranean and the Pacific.  Bill had joined the Navy ten years ago and had traveled everywhere.  He loved the Navy and had decided to make it his career.  The pay was good and he had learned to repair computers so he knew he could get a good job when he got out.  Bill was in the middle of his story when his grandmother interrupted him because she had to go shopping.  Bill decided to sit on the couch and wait for his grandfather.  He picked up a magazine but was so excited to see his grandparents that he couldn't concentrate.  He decided to watch television.  He couldn't watch TV atsea because the reception was so bad.what he was watching on television.didn't find baseball particularlyexciting but he couldn't find anythingelse.  After a while, Bill heard hisgrandfather outside.  He looked outthe window and saw him so he leaped offthe couch, raced to the door and gavehis grandfather a big hug.  Bill satback on the couch and talked with hisgrandfather.  Bill's grandfather asked him3glass of beer waiting for him.  While ","['What had Bill gotten to drink?', 'What was Bill watching on TV?', ""What city did Bill's grandparents live in?"", 'How long had Bill been in the Navy?']",The beer.,Baseball.,Boston,He had been in the Navy for ten years.,glass of beer,baseball
study3,B,11,11.txt,"The Alcoholic BeverageBill had finally received three days of shore leave when his ship docked in Boston harbor.  He was thrilled because his grandparents lived in Boston.  Bill hadn't seen them for several years and he knew they would be happy to see him.  When he got off the ship, he called them, and they were indeed happy to hear from him.  When he arrived at his grandparents, Bill's grandmother had a if he had gotten anything to drink.sipping the beer, Bill talked about his experiences since joining the Navy.  He had traveled all over the Mediterranean and the Pacific.  Bill had joined the Navy ten years ago and had traveled everywhere.  He loved the Navy and had decided to make it his career.  The pay was good and he had learned to repair computers so he knew he could get a good job when he got out.  Bill was in the middle of his story when his grandmother interrupted him because she had to go shopping.  Bill decided to sit on the couch and wait for his grandfather.  He picked up a magazine but was so excited to see his grandparents that he couldn't concentrate.  He decided to watch television.  He couldn't watch TV atsea because the reception was so bad.what he was watching on television.didn't find baseball particularlyexciting but he couldn't find anythingelse.  After a while, Bill heard hisgrandfather outside.  He looked outthe window and saw him so he leaped offthe couch, raced to the door and gavehis grandfather a big hug.  Bill satback on the couch and talked with hisgrandfather.  Bill's grandfather asked him3Bill turned on some baseball.  He","['What had Bill gotten to drink?', 'What was Bill watching on TV?', ""What city did Bill's grandparents live in?"", 'How long had Bill been in the Navy?']",Beer.,Baseball.,Boston,Ten years.,glass of beer,baseball
study3,C,11,11.txt,"The Boring SportBill had finally received three days of shore leave when his ship docked in Boston harbor.  He was thrilled because his grandparents lived in Boston.  Bill hadn't seen them for several years and he knew they would be happy to see him.  When he got off the ship, he called them, and they were indeed happy to hear from him.  When he arrived at his grandparents, Bill's grandmother had a if he had gotten anything to drink.sipping the beer, Bill talked about his experiences since joining the Navy.  He had traveled all over the Mediterranean and the Pacific.  Bill had joined the Navy ten years ago and had traveled everywhere.  He loved the Navy and had decided to make it his career.  The pay was good and he had learned to repair computers so he knew he could get a good job when he got out.  Bill was in the middle of his story when his grandmother interrupted him because she had to go shopping.  Bill decided to sit on the couch and wait for his grandfather.  He picked up a magazine but was so excited to see his grandparents that he couldn't concentrate.  He decided to watch television.  He couldn't watch TV atsea because the reception was so bad.what he was watching on television.didn't find baseball particularlyexciting but he couldn't find anythingelse.  After a while, Bill heard hisgrandfather outside.  He looked outthe window and saw him so he leaped offthe couch, raced to the door and gavehis grandfather a big hug.  Bill satback on the couch and talked with hisgrandfather.  Bill's grandfather asked him3glass of beer waiting for him.  While ","['What had Bill gotten to drink?', 'What was Bill watching on TV?', ""What city did Bill's grandparents live in?"", 'How long had Bill been in the Navy?']",Nothing.,Bill was watching an NFL game.,Boston.,I joined the Navy in September of 1980.,glass of beer,baseball
