study,version,passage_num,passage_file,passage_text,questions,question_1,question_2,question_3
study_1,B,08,p08B.txt,"A soft breeze swirled Tamika's skirt around her ankles. The only sound in the cemetery was the whispering leaves. Tamika wiped a tear from her cheek as she stood by her mother's grave. Her mother's favorite flowers were yellow roses. Tamika placed a bouquet of them on the grave. She paused at a bench outside the cemetery. She wasn't in a hurry to leave. She didn't get back to her hometown very often. She had even arranged to have lunch with an old friend. They would meet at the cafe across the street, but that wasn't for three more hours. As usual, Tamika was overwhelmed by emotions and memories. When she felt this way, meditation often helped her find her center. She closed her eyes and went through her mental exercises. As she did, she felt the stress leave her body. When she was completely calm, she exhaled deeply and checked her watch. Two hours had gone by! She walked across the street to the cafe. It was very busy and Tamika had to wait for a half hour before a table was free. Eventually, she plopped down in a seat and sighed. Even though it had been a difficult visit, Tamika was happy that she had put the yellow flowers on her mother's grave. She was sure that her mother would enjoy looking down on those beautiful blooms dancing in the breeze.","[""What kind of yellow flowers did Tamika put on her mother's grave?"", 'How far away was the restaurant where Tamika met her friend for lunch?', 'How long did Tamika have to wait before she was seated at the restaurant?']",The yellow roses.,About five minutes.,Three hours.
study_1,B,09,p09B.txt,"Sirens sounded in the distance. The criminal knew the authorities were closing in. He used a rusty hammer to pry open the old basement window. He started to climb out of the window but saw lights, so he retreated back inside. He sprinted through the house. The criminal burst through the front door. He knew he was safe from the authorities because the entrance was completely hidden by tall hedges. He paused for a moment, wondering what he could do to evade the law. Logic dictated that he stick to the shadows and proceed at a slow and deliberate pace, to avoid being discovered. The criminal used his common sense and did not run. He thought about his options for the next half hour, shielded by the tall hedges. He needed to be smart about what he did next. His decision could mean the difference between freedom and jail. After lengthy deliberation, the criminal decided it was safest to remain where he was. He retreated even deeper into the hedges. An hour later, he heard sirens. He hoped his hiding spot wouldn't be discovered. It was too dangerous to do anything now, so he settled in for a nap. He didn't wake until several hours later. The criminal left his hiding place behind and crawled to the house next door. The sun was beginning to rise as he paused to catch his breath and listen. The criminal decided it was safe to break into the house. He struggled to open a side window. The criminal wished he still had the rusty tool to help him in his efforts. After he got inside, he tiptoed around. When he got to the kitchen his heart sank when he saw two officers waiting to apprehend him.","['What rusty tool did the criminal wish he still had?', ""Where was the criminal's new hiding place?"", 'Did the police apprehend the criminal in a timely manner?']",His rusty hammer.,"He was in the basement, waiting for the authorities to close in.",Yes
study_1,B,10,p10B.txt,"Following the doctor's visit, The tension in the hospital room was palpable. All the parents could hear was the echo of the doctor's diagnosis: their daughter was battling an aggressive cancer. There was so much sadness here. Of course, it could have been worse. The parents were eager to do something to cheer up their daughter. They decided to find something that would make her smile when she woke up. The father remembered the gift store that he and his wife had seen. The father decided to buy their daughter a new teddy bear. His wife asked him to go to the gift store just down the hall from the daughter's room. She told him to take his time, to take a couple of hours to regain his strength. The father plodded down the 7th floor of the hospital in a state of shock. He leaned against the wall and closed his eyes. He was tired of the uncertainty. Over the next hour, he tried to think about happier times. As he opened his eyes, he saw his neighbors coming to visit his daughter. They had brought balloons. The father shared the devastating news. It took an hour to answer all of their questions. When he finished, he walked the few remaining steps to the gift store. A number of customers were in the store, and it took a half hour to make his purchase. As he exited the store, he took a deep breath. He knew they could be strong as they fought this aggressive disease as a family. Together, they would make it through this.","['Which aggressive disease was the daughter fighting?', 'Where was the gift store located?', ""What was the first thing the father did when he left his daughter's room?""]",Her disease is an aggressive form of neuroblastoma.,"The gift store was located in an area of the hospital known as ""the wings.",He bought a teddy bear.
study_1,B,11,p11B.txt,"The music instructor looked outside. The snow that was falling beyond her window was dense and wet. Running her fingers lovingly over the shabby piano, she sighed. She prepared for the day. She was already cold so she wrapped another sweater around her thin shoulders. The day's lessons were about to begin. Students traveled to her home for lessons every day. The music instructor liked this arrangement. It was convenient because she didn't have to leave her home. The music instructor had to wait half an hour for her first student to arrive. Anya's lesson was an hour long, but she was poorly prepared, and the time passed very slowly. There was a half hour gap before the next student arrived. Amy was a much better student. She made a lot of progress over the next hour with the music instructor's help. That left the music instructor with only one more lesson for the day: Jose. Jose was late as usual. Not surprisingly, he had not practiced since she saw him last. The hour-long lesson was very frustrating. As she closed the door behind him, she pondered whether to continue as his teacher. By this time in the day, the music instructor was exhausted. Her work was done and now she looked forward to spending the evening in the warmth of her home, her fingers dancing over the shabby instrument she loved. She couldn't wait to ease into a familiar aria, letting her eyes drift closed so she could completely enjoy the music as she played. She hoped that someday one of her students would find the release and comfort that she did when she sat down on the bench.","['Which shabby instrument did the instructor love playing?', 'Where did the music instructor give her lessons?', 'How many students did the music instructor see today?']",The piano.,The music instructor sat at the piano and played in the park outside of her home each day.,Just one.
study_1,B,12,p12B.txt,"Jason and Jenna smiled at each other. It was a wonderful date so far. They climbed out of the vintage sailboat. They were both hungry and eager for their lunch reservation after spending time on the water. The restaurant was only a few steps away, right next to the dock. Since it was such a beautiful day, Jason and Jenna decided to sit on the edge of the dock with their feet in the water. They soaked up the sun and spent an hour reliving the wonderful things they had done so far. Finally, Jason and Jenna dried their feet and decided to head to the restaurant. The first time Jason and Jenna ate there, they both agreed that they had never seen such beautiful presentation of the meals they ordered. Moments later, they walked in the door. The hostess informed them that the wait was an hour. They passed the time in the waiting area, planning future adventures. An hour later, the hostess found them. As they were shown to their table, Jason asked Jenna which part of their date she liked the best so far. Jenna quickly said that she really enjoyed her time in the vintage vessel. Then, Jason and Jenna picked up the menu and they prepared to order.","['In which type of vintage vessel did Jason and Jenna start their date?', 'Where was the restaurant located?', 'How long did they wait at the restaurant before they were seated?']",Jason and Jenna began their date at a vintage sailboat in the bay.,It was located at the end of the dock.,"As soon as they walked in the door, the hostess immediately ordered them to their table."
study_1,B,13,p13B.txt,"Delilah and Joseph were in the process of moving from Chicago to London. The biggest remaining task was to pack their apartment. The many smaller items had already been packed. All that remained were a couple of the bigger items. They grabbed the wooden table in the dining room and began to dissemble it together. Joseph searched the remaining empty boxes for one that was big enough. Glancing at the clock, Delilah realized that their friends would be coming over to help them in three hours. They had plenty of time. It took half an hour for Joseph to sort through the remaining boxes. None was big enough. Joseph saw his wife's distress. He needed to find a solution to the problem. Just then, he remembered something. He told Delilah that he had purchased a large packing box yesterday that he hadn't put with the others. It was just across the hall in their storage locker. Relieved, they decided to enjoy lunch before continuing. Delilah grabbed the leftovers from the refrigerator, and they sat on the floor and shared a small meal. Tired and full, they laid down for a power nap and were soon asleep. They woke a few hours later. Joseph rubbed the sleep from his eyes and stepped across the hall. It took him awhile to find the large cardboard box in the storage locker. Joseph was about to head back to help Delilah pack the pieces of the wooden furniture when his phone rang. It was Delilah calling to let him know that the ""reinforcements"" had arrived.","['What piece of wooden furniture were Joseph and Delilah trying to pack?', 'Where did Joseph first look for a suitable box?', ""How long was Joseph's search for a box that would suit their purposes?""]",The wooden table.,He looked in the attic where he had stored the furniture.,It could have been as long as three hours.
study_1,B,14,p14B.txt,"Jenna sat on the blue couch with a sigh. She was here for the weekend doing a job for Mr. and Mrs. Narayan. Jenna hoped to earn enough for her senior ski trip. All she needed to do was to care for their pets while they were away for the weekend. Jenna's first task was to pick up the Narayan's friendly dog from his vet appointment. She walked outside as small raindrops started to fall. Jenna didn't mind getting wet so she left her Toyota behind and opened her umbrella. She would walk to the veterinary clinic, which was just a couple blocks away. Jenna strolled down the driveway. At the end of the driveway, she stood with her eyes closed and listened to the sound of the rain hitting her umbrella. She loved that sound. A half hour later, Jenna started her stroll to the vet. Jenna had to be very careful where she stepped because deep puddles had formed, and she didn't want to ruin her shoes. She didn't mind her slow progress though; she loved the rain. Finally, Jenna walked into the veterinary clinic. There was a long line, so she sank down into one of the chairs. She had to wait another thirty minutes until her name was called. Jenna hurriedly signed the necessary papers while the receptionist walked into the back of the clinic. Jenna smiled as she saw the friendly animal come galloping into the room. Jenna took the leash from the receptionist and walked outside.","['Which friendly animal did Jenna pick up from the vet?', 'How did Jenna get to the veterinary clinic?', 'How long did the errand take Jenna?']",A fluffy toy dog.,She was walking back home after a long day of work.,Thirty-five minutes.
study_1,B,15,p15B.txt,"Jessie was excited to hear the results after her husband's participation in yesterday's competition. She knew that her husband grew the sweetest apples anywhere. The judges had already sampled them at the state fair yesterday and would meet with everyone today to share the results. Jessie entered the competition area. She needed to find her husband so that she could congratulate him when the results were announed. There were so many different displays. Jessie felt overwhelmed by the number of people present today. She needed to find her husband. She wanted to be able to support him when the judges announced the results. Jessie took out her cell phone and called him. When he picked up, he told her to turn around. When she did, she started laughing as she saw that he was only twenty steps away. She joined her husband and helped him prepare for the arrival of the judges. First, she tried to talk to her husband to calm him down. A half hour later, she realized that that wasn't working. Then she took out a deck of cards and suggested they play a game. Her husband laughed and they spent the next hour playing any silly, mindless game they could think of. Finally, much later, Jessie looked up to see the three judges approach. Jessie was ecstatic when her husband's sweet fruit was announced as the grand prize winner. She jumped up and down in excitement as the oldest judge handed her husband a blue ribbon!","[""What type of sweet fruit did Jessie's husband enter into the competition?"", ""Did Jessie arrive at the judge's tent in a timely manner?"", ""How far away was Jessie at the start of the story from the judge's tent?""]",The judges said his apple was the best.,Jessie arrived at the judges' tent after her husband's fruit was announced as the grand prize winner.,Jessie was twenty steps from the tent.
study_1,B,16,p16B.txt,"Keisha looked around the bus stop with a sigh. She couldn't believe her car had broken down again. She sat on a wooden bench and pulled out her glossy paperback. The bench cut into the backs of her legs since she wasn't tall enough for her feet to touch the ground. She settled in to wait for the 8:57 bus. She waited and waited but the bus never came. After a half hour, she realized that she had missed it. She had no other choice but to wait for the 10:25 bus. Just then, her phone rang. It was her mother, who loved to talk. It took an hour before Keisha could say goodbye and get off the phone. The 10:25 bus had yet to arrive. Keisha decided to just walk the block to her work. Keisha stood up and grabbed her things. She took a moment to stretch her legs. She had been sitting on the bench for almost two hours, and her knees were quite stiff. She slowly walked the two blocks to her office. She arrived at work twenty minutes later. At that moment, she realized that she had left her glossy book on the bench at the bus stop. She crossed her fingers that her car would be fixed by that afternoon, and she would be able to drive to work.","['What glossy book did Keisha leave on the bench?', 'What issues did Keisha have getting to work?', 'Despite her lack of car, did Keisha arrive at work in a timely manner?']",Keisha's glossy book was the first one she had ever read.,Keisha was alone at the bus stop.,"Yes, Keisha arrived at work in a timely manner."
study_1,B,17,p17B.txt,"It was late at night when Ryan, a rookie cop, responded to the call. He was eager to start the process that could eventually lead to an arrest. Ryan scanned the scene. His eyes immediately landed on the gleaming gun lying ominously in the doorway. He reached for his kit for processing crime scenes. Just then, he realized that it was missing. Ryan panicked for the next half hour, wondering where it was. There was no way he could collect evidence without it. His scatterbrained ways would get him in trouble some day. Eventually, Ryan remembered that he had left it in his car. Since his car was parked close by, in the driveway, he decided to relax. His superiors would not arrive for another hour or two. Ryan sat on a couch and flipped on the television. An hour later, he finally rose and walked outside. He looked up at the stars and started daydreaming about the future. He hoped he would rapidly ascend through the ranks. A half hour later, he roused himself and climbed into his car. It took him fifteen minutes to finally locate the kit. Mentally, Ryan prepared himself for the next steps he would take in processing the scene. He would start with analyzing the gleaming weapon found at the house. He would have to use the equipment to dust for fingerprints. Ryan knew that if he worked methodically, his thorough approach would produce results that would help to apprehend the guilty.","['What gleaming weapon was Ryan going to dust for fingerprints?', 'Where did Ryan end up finding his kit for processing crime scenes?', 'How long did Ryan search for his kit?']",The handgun that Ryan found in the house.,"In his personal backpack, which he kept in his police car.",The kit was in his car for only an hour and a half.
study_1,B,18,p18B.txt,"Sarah could hardly believe that her little sister was turning thirteen tomorrow. As usual, she had waited until the last minute to purchase her present. What would a new teenager want? Sarah recalled what was at the top of her wish list at that age: clothes. She was going to find her sister the perfect outfit. Well, maybe not an entire outfit, but Sarah would find her a pair of trendy pants. Sarah had several hours before she needed to be back home for the birthday dinner. She was glad she had come to this store to search for her sister's present. It was a chic boutique that catered to the tastes of the young and the fashionable. First, Sarah searched the store for something for herself. She tried on racks of coats for an hour without any luck. She then switched to shoes. An hour and many pairs later, still no luck. Exhausted, she finally shifted her focus to her sister's present. Sarah spent the next hour re-evaluating the store's inventory. It was tiring pushing through the thick crowds. She had almost lost hope when she came to the last rack. That's where she found it. It was the perfect piece of trendy clothing. Sarah knew her sister would love it. She pushed aside hangers in order to look for her sister's size. She found the correct one and walked to the register. She smiled, anticipating the pleased look on her sister's face.","['What piece of trendy clothing did Sarah buy for her sister?', 'How much time did Sarah have to shop before she needed to be back at home?', ""Where was the first place that Sarah tried to find her sister's birthday present?""]","Something for her to look good in, in a manner of speaking.",As much as she wanted.,At the beginning of Chapter 2.
study_1,B,19,p19B.txt,"The woman huddled on the floor. She watched the three men shatter the glass jewelry case with the butts of their guns. The men scooped the glitzy diamonds into black velvet bags. The woman was close to the door that the robbers had carelessly left open. Although scared, she decided to escape and to try to find help. The woman grabbed her purse and slowly crawled across the floor. A half hour passed before the robbers were distracted enough for her to pass through the door frame. She crawled slowly, careful to avoid jostling the door. Once outside, she carefully made her way to the side of the building. The woman decided she'd be safe hiding there in the shadows. She spent the next half hour trying to calm her racing heart. In her panic, the woman couldn't seem to catch her breath. She was hyperventilating! The combination of the crime and the heat got the best of her, and she passed out. She awoke two hours later. Finally, she remembered the cell phone in her pocket. She retrieved it and carefully dialed 911. A little while later, she told the operator that a robbery had taken place. She also mentioned that thieves had taken glitzy gems. The woman closed her cell phone, exhausted. She breathed a sigh of relief, thankful that she had been able to escape and call for help.","['What kind of glitzy gems did the robbers scoop into the velvet bags?', 'How far did the woman end up traveling before she remembered the cell', 'Were the robbers still in the jewelry store when the police arrived?']","Diamonds, most likely.","She was on the highway, heading northward toward the city of Houston.",Yes.
study_1,B,20,p20B.txt,"The warrior slowly awakened with the morning sun, unprepared for the battle that was still hours away. He threw on his wool shirt, bothered not at all by its tattered condition or egregious smell. He spent the next few hours polishing his armor before finally putting it on. He had fought many battles in his life, and had come close to dying several times. Today's battle was just a game, however; a competition to determine the best man in the land. He had fought many men over the years, many stronger than him. He had vanquished them all because combat is not about deploying one's strengths. Rather, it is about exploiting your opponent's weaknesses. These thoughts occupied him for hours. After this contemplation, the warrior realized it would be a long time until his next meal. He carefully examined his stack of provisions. The warrior sat down to a bit of ale and an old drumstick. This was his traditional meal before battle. He had actually come to hate drumsticks, but was far too superstitious to change his menu at this point in his life. He methodically consumed the few morsels for the energy they provided. Tired, he settled in and enjoyed a long, leisurely nap. When he woke much later, he walked to the large bowl of water in the corner and dropped to his knees. The warrior sank his hands into the water. He then wiped his soiled fingers on his wool clothing. Finally, he changed into his armor and prepared himself for battle.","['Which wool clothing item did the warrior wipe his soiled fingers on?', 'Where did the warrior eat his lunch?', 'How long did the warrior have to himself before the battle began?']",A tattered wool shirt,He ate his lunch in the kitchen.,He didn't have to spend much time alone.
study_1,C,01,p01C.txt,"Sophia straightened her suit, took a deep breath, and entered the hotel's bar, just off the lobby. She took a seat at an empty high-top table. She ordered an amber beer, hoping to calm her nerves. The waitress set Sophia's drink on the table and moved on. Before Sophia could even take a sip, her cell phone rang. It was the client calling to confirm their meeting in the lobby of the Madison Hotel. The Madison Hotel? Sophia was sitting in the wrong hotel. The Madison was several miles away! Sophia maintained her composure and assured the client that their meeting together would begin in ten minutes. She hung up her phone, grabbed her bag, and raced out of the hotel. It was raining heavily outside. Sophia stopped at the drugstore down the block to buy an umbrella. She quickly completed her purchase and hustled out of the store. She suddenly realized she would never make it in time on foot, so she hailed a cab. It was a good decision: She arrived at the Madison hotel ten minutes later. She was all wet, and dashed into the restroom to freshen up. After a few minutes, she looked much better. She hurried through the lobby where she saw the client impatiently waiting. He rose from his chair and instantly launched into a list of his complaints. Sophia pasted a smile on her face and found herself wishing for the amber beverage she left back in the bar. She mentally prepared herself for what was sure to be a difficult meeting.","['What amber beverage did Sophia leave back at the bar?', 'What did Sophia do before she left the bar?', 'Where was Sophia supposed to meet the client?']",A drink of her choice.,She waited for the cab to arrive.,In the lobby of Madison Hotel.
study_1,C,02,p02C.txt,"Everyone squeezed into the family room, anxious to begin the treasure hunt, an annual family tradition. Joshua loved the party atmosphere and could hardly wait for the day's activities. Children pushed and giggled and the adults gossiped until the booming voice of the jolly uncle could be heard over the excited crowd. ""Everyone knows how this works,"" he shouted. ""I've hidden the family trophy. We end today's search at the park next door. Remember, the first one to find it receives the cash prize and bragging rights for a year. Same rules as always! Ready, set... Go!"" Joshua's heart fluttered in excitement. The trophy was hidden somewhere in the neighborhood. Joshua needed a method in order to find the treasure first. He wanted to be sure that he wouldn't be followed. After a few minutes, he was able to begin. Leaving the house, he sprinted down several blocks. Joshua skidded around a corner, crouching behind a rock briefly when he spotted some cousins in the distance. He ran past several houses to arrive at the yard with the hollow tree. Climbing the fence, he tore his pants in his haste. Joshua tumbled to the other side and rushed to the tree. Moments later, he was standing on his tiptoes, peering inside. He found the hidden treasure! There was no time to celebrate his victory. Joshua grabbed the family trophy and sprinted to the park three blocks away, shouting his success. The jolly relative rang a large bell to signal the end of the treasure hunt. Once everyone had gathered in the park, he picked up the excited boy and, holding him high, pronounced Joshua the winner. The family surrounded the boy with their congratulations; the younger ones helping Joshua celebrate his new windfall. Still laughing and talking, the family sat at the picnic table for the celebratory meal.","['Which jolly relative rang the bell to signal the end of the treasure hunt?', 'Where did Joshua look for the treasure first?', 'Where did this treasure hunt take place?']",The jolly relative.,He looked in the hollow tree.,The annual family treasure hunt.
study_1,C,03,p03C.txt,"Wiping his brow with the kitchen towel, the chef paused for a moment in his preparations to survey the mess he had created. This meal had to be perfect, flawless from the appetizers to the dessert. Not wanting to waste time, he picked up the gleaming knife and continued to cut the vegetables for the salad. The timer sounded, signaling that it was time to apply the herb rub to the roast. Where did he put those spices? How could he have forgotten something like that on such an important day? He must have left them in his catering van. The chef ran through the kitchen and between dozens of tables. In a matter of seconds, he raced through the rented hall until he reached the exit. Bursting out of the double doors, he sprinted past a florist and a pastry shop, and up San Francisco's steepest hill. His van was parked at the very top. After five minutes of running, the chef was becoming very tired. At that moment, he looked to his left and noticed a trolley approaching. The chef grabbed a pole and jumped on the trolley. This mode of transportation allowed him to cover the remaining mile in a matter of minutes. Moments later, the chef hopped off the trolley and sprinted to his van. The chef grabbed the forgotten box of spices and breathed a sigh of relief. Catching his breath and reclaiming his confidence, he could envision how everything would go. He would first combine the spices in a bowl. Then, he would slide the seasoned roast back into the oven. Finally, he would use his gleaming utensil to complete the preparations. If tonight was successful, he could look forward to an exciting career in the catering business.","['Which gleaming utensil would the chef use to complete his preparations?', 'Given how long it took to retrieve his spices, should the chef have been so frustrated?', 'Where was the chef when he realized that he had forgotten his spice kit?']",The knife.,"Maybe, maybe not.",He was walking down a hill.
study_1,C,05,p05C.txt,"The two girls had never been to the zoo. This trip with their father, Jared, would be the first. The girls endlessly reminded their father that they had to see the fierce lion while they were there. Jared reminded his girls of the other animals that they could see but the girls would not be distracted from their goal. They rushed around their house as they tried to get ready to go. After five minutes of brushing teeth and combing hair, the family was ready. Traffic was light. The family's minivan covered the five miles to the zoo in just ten minutes. The trip was punctuated by the excited chatter of the girls. They were happy to be spending the day with their father. He sped through the parking lot and pulled into a parking spot right next to the zoo's main entrance. Jared grabbed his girls by their hands and they raced to the exhibit. Jumping up and down in excitement, the girls could finally see the fierce animal in the distance. After the girls had their fill of looking at that exhibit, they smiled with satisfaction. The zoo had been a success.","[""Which fierce animal did Jared's girls want to see?"", ""How long did it take for Jared and his girls to travel from the zoo's entrance to the exhibit?"", ""Where was the exhibit located in relation to the zoo's entrance?""]",The lion and the tortoise.,Jared and his daughters spent approximately 10 minutes at the entrance and another five minutes at the exhibit.,The exhibit was located on the second floor and directly across from the entrance.
study_1,C,06,p06C.txt,"The aviation mechanic buried his head in his work rag. He attempted to soak up some of the sweat streaming down his face. He had forgotten a few of his tools, including the one he needed for this repair. He kicked the plastic chair. He longed for the days when he was part of a line maintenance crew, making the simple checks and adjustments necessary before take-offs. There was no time to vent his frustration because he was up against a deadline. He raced out of the hangar. Seconds later, the mechanic started sprinting toward his car in the remote parking lot. That's where he kept his toolbox. He ran past the control tower. He didn't even have time to wave at his friend Sam. A few minutes later, he passed by the main office. Unfortunately, there was no time to pick up his check. He continued past the terminal, dodging travelers. He jogged to his car on the far side of the parking lot. The mechanic spilled the contents of his toolbox and quickly located the forgotten tool. Tired and hot, he thought about his problem controlling his temper. He felt foolish for kicking the plastic furniture earlier, when he was frustrated. Experience had told him that simple mistakes were nothing to get upset about. Problems usually resolved themselves in the end.","['What piece of plastic furniture did the mechanic kick out of frustration?', 'Where did the mechanic find his toolbox?', 'What was the first thing the mechanic did in order to find his toolbox?']",The tool box,He had forgotten his toolbox.,He got back in the car and raced toward his car.
study_1,C,07,p07C.txt,"Jason looked around his high school gymnasium. It was overwhelmed by the large number of booths, each representing a different career. He wanted to pursue a career in the field of education as a motivating teacher, so locating that information table was his top priority. Jason was grateful for the opportunity to learn more about a variety of jobs. His class requirement was to distribute a minimum of three resumes and participate in interviews today. Jason opened his bag to remove his resumes. He was irritated to realize that he had forgotten them at home. Unfortunately, his home was several miles away. Jason was frustrated, but at least he had driven to the school rather than walked. He sprinted out of the gymnasium and jumped in his car. Seconds later, he was speeding through town. Five minutes later, he came to a fork in the road. He decided to cut through the city park. This enabled him to avoid the traffic downtown. He emerged on the other side of the park a few minutes later. Next, he came to the high school and its athletic fields. He sped past them in less than a minute. Jason screeched to a halt in front of his house and ran inside. On one side of the coffee table was a stack of newspapers. He found his stack of resumes under the papers. Jason was relieved he had the necessary paperwork to start looking into the motivating career he was interested in. He stuffed the stack of resumes in his bag.","['What motivating career did Jason see himself doing in the future?', 'How long did it take for Jason to locate his resumes?', 'Where was the first place that Jason looked for his resumes?']",He had two options.,"Jason searched for his resume for six hours, until he found the information he needed.",In his home.
study_1,C,08,p08C.txt,"A soft breeze swirled Tamika's skirt around her ankles. The only sound in the cemetery was the whispering leaves. Tamika wiped a tear from her cheek as she stood by her mother's grave. Her mother's favorite flowers were yellow roses. Tamika placed a bouquet of them on the grave. Her pace quickened as she crossed the street and sprinted to her car. She didn't enjoy returning to her hometown, and wanted to leave as soon as possible. Besides, she was meeting her friend for lunch in the neighboring town. Tamika flew through her hometown in a matter of minutes. At the outskirts, she whipped through a drive through and grabbed a coffee. Tamika ignored the posted speed limits as she continued on her way. The next town was ten minutes away, and she wanted to get there as soon as possible. Minutes later, Tamika screeched into the parking lot. She dashed from the coolness outside to the warmth of the cafe. There were plenty of open tables. Tamika chose the one closest to the door. Even though it had been a difficult visit, Tamika was happy that she had put the yellow flowers on her mother's grave. She was sure that her mother would enjoy looking down on those beautiful blooms dancing in the breeze.","[""What kind of yellow flowers did Tamika put on her mother's grave?"", 'How far away was the restaurant where Tamika met her friend for lunch?', 'How long did Tamika have to wait before she was seated at the restaurant?']","Yellow roses, a favorite of Tamika's mother.",Tamika wasn't sure.,She had to wait about thirty minutes.
study_1,C,09,p09C.txt,"Sirens sounded in the distance. The criminal knew the authorities were closing in. He used a rusty hammer to pry open the old basement window. He started to climb out of the window but saw lights, so he retreated back inside. He sprinted through the house. The criminal burst through the front door. He knew he was safe from the authorities because the entrance was completely hidden by tall hedges. He paused for a moment, wondering what he could do to evade the law. Logic dictated that he stick to the shadows and proceed at a slow and deliberate pace, to avoid being discovered. But the criminal disregarded all common sense and started running. It was the only option. He ran for ten minutes, coming to a wooded area one mile away. The criminal didn't even break his stride as he dodged through the trees. He ran for ten more minutes, to a park another mile away. Suddenly, he heard sirens. He ducked inside a tube slide to hide. The criminal held his breath, hoping that his hiding spot wouldn't be discovered. When the sirens passed, he left his hiding place behind. He searched the neighborhood for a few minutes until he found a seemingly abandoned house. The moon was shining brightly overhead as he paused to catch his breath and listen. The criminal decided it was safe to break into the house. He struggled to open a side window. The criminal wished he still had the rusty tool to help him in his efforts. After he got inside, he tiptoed around. When he got to the kitchen his heart sank when he saw two officers waiting to apprehend him.","['What rusty tool did the criminal wish he still had?', ""Where was the criminal's new hiding place?"", 'Did the police apprehend the criminal in a timely manner?']","His rusty hammer, of course!",The criminal's new hiding place was a basement window.,No.
study_1,C,10,p10C.txt,"Following the doctor's visit, The tension in the hospital room was palpable. All the parents could hear was the echo of the doctor's diagnosis: their daughter was battling an aggressive cancer. There was so much sadness here. Of course, it could have been worse. The parents were eager to do something to cheer up their daughter. They decided to find something that would make her smile when she woke up. The father remembered the gift store that he and his wife had seen. The father decided to buy their daughter a new teddy bear. His wife asked him to hurry. This would be difficult because the gift store was several blocks away. The father sprinted through the 7th floor of the hospital. He didn't have time to wait for the elevator, so he ran down the stairs in record time. Seconds later, he was in the lobby. He saw his neighbors holding colorful balloons for his daughter, but he pushed past them and sprinted out of the hospital. The father covered the several blocks to the gift store in no time at all. Thoughts of his daughter raced through his mind. He was the only customer in the store so the purchase was quick. Just a few minutes after arriving, he exited the store. He was physically tired from his hurrying and emotionally drained. He tucked the teddy bear under his arm and took a deep breath. He knew they could be strong as they fought this aggressive disease as a family. Together, they would make it through this.","['Which aggressive disease was the daughter fighting?', 'Where was the gift store located?', ""What was the first thing the father did when he left his daughter's room?""]",Her breast cancer.,At the 8th floor of the hospital.,He ran to the gift store and bought a new teddy bear.
study_1,C,11,p11C.txt,"The music instructor looked outside. The snow that was falling beyond her window was dense and wet. Running her fingers lovingly over the shabby piano, she sighed. She prepared for the day. She was already cold when she struggled into her coat. The music instructor traveled several miles each day so she could give students lessons in their homes. She put her cell phone in her pocket and set out into the cold. Jumping into her car, she drove as quickly as the weather allowed to her first student, Anya. As the music instructor pulled into the driveway, the phone rang. Anya was calling to cancel, explaining that she hadn't practiced the past week. The music instructor backed out of the driveway. A few minutes and a few miles later, she arrived at Amy's house. When Amy opened the door, she was still wearing her pajamas. She was sick and had forgotten to call to cancel her lesson. Frustrated, the music instructor jumped back in her car. She had barely left Amy's street when her phone rang. It was Jose, calling to reschedule his lesson. The day had been a complete failure. She turned the car around and started heading home, just a few minutes after she had started her trip. She looked forward to spending the afternoon back inside the warmth of her home, her fingers dancing over the shabby instrument she loved. She couldn't wait to ease into a familiar aria, letting her eyes drift closed so she could completely enjoy the music as she played. She hoped that someday one of her students would find the release and comfort that she did when she sat down on the bench.","['Which shabby instrument did the instructor love playing?', 'Where did the music instructor give her lessons?', 'How many students did the music instructor see today?']",The piano.,She had several classrooms and many students to teach.,Two.
study_1,C,12,p12C.txt,"Jason and Jenna smiled at each other. It was a wonderful date so far. They climbed out of the vintage sailboat. They were both hungry and eager for their lunch reservation after spending time on the water. Their reservation was in ten minutes and the restaurant was several miles away. Jason and Jenna jumped in his convertible and raced through the town. The wind whipped Jenna's hair around her face as Jason disregarded all posted speed limits. Along the way, they stopped by the drug store. They both needed aloe for their sunburn. There was no time to put it on now, though. Just then, Jenna remembered that the restaurant did not have a liquor license. They ran across the street and popped into a wine store. There was a large display in front and they grabbed a bottle and paid for it in no time at all. A few minutes later, the convertible screeched into the parking lot of the restaurant. Jason and Jenna grabbed their wine and rushed inside. As they were shown to their table, Jason asked Jenna which part of their date she liked the best so far. Jenna quickly said that she really enjoyed her time in the vintage vessel. Then, Jason and Jenna picked up the menu and they prepared to order.","['In which type of vintage vessel did Jason and Jenna start their date?', 'Where was the restaurant located?', 'How long did they wait at the restaurant before they were seated?']",A vintage sailboat.,They were in the parking lot of a wine store.,All of the restaurant was packed and there was a long line.
